Monthly extreme water levels 
The values are in meters relative to the most recent Mean Higher High Water (MHHW) datum established by CO-OPS
"Column values are the Year, Month, and Monthly Extremes"
1999,Dec,0.317
2000,Jan,0.556
2000,Feb,0.303
2000,Mar,0.444
2000,Apr,0.488
2000,May,0.357
2000,Jun,0.474
2000,Jul,0.417
2000,Aug,0.484
2000,Sep,0.595
2000,Oct,0.308
2000,Nov,0.569
2000,Dec,0.436
2001,Feb,0.412
2001,Mar,0.762
2001,Apr,0.322
2001,May,0.344
2001,Jun,0.365
2001,Jul,0.382
2001,Aug,0.357
2001,Sep,0.397
2001,Oct,0.437
2001,Nov,0.238
2001,Dec,0.347
2002,Jan,0.392
2002,Feb,0.452
2002,Mar,0.346
2002,Apr,0.402
2002,May,0.344
2002,Jun,0.453
2002,Jul,0.248
2002,Aug,0.221
2002,Sep,0.394
2002,Oct,0.522
2002,Nov,0.641
2002,Dec,0.757
2003,Jan,0.771
2003,Feb,0.648
2003,Mar,0.548
2003,Apr,0.742
2003,May,0.608
2003,Jun,0.485
2003,Jul,0.361
2003,Aug,0.247
2003,Sep,0.544
2003,Oct,0.449
2003,Nov,0.627
2003,Dec,0.732
2004,Jan,0.24
2004,Jun,0.53
2004,Jul,0.305
2004,Aug,0.313
2004,Sep,0.46
2004,Oct,0.486
2004,Nov,0.601
2004,Dec,0.636
2005,Jan,0.54
2005,Feb,0.466
2005,Mar,0.448
2005,Apr,0.548
2005,May,0.632
2005,Jun,0.347
2005,Jul,0.448
2005,Aug,0.449
2005,Sep,0.401
2005,Oct,0.713
2005,Nov,0.351
2005,Dec,0.613
2006,Jan,0.787
2006,Feb,0.625
2006,Mar,0.241
2006,Apr,0.338
2006,May,0.324
2006,Jun,0.234
2006,Jul,0.206
2006,Aug,0.375
2006,Sep,0.728
2006,Oct,0.641
2006,Nov,0.477
2006,Dec,0.329
2007,Jan,0.346
2007,Feb,0.174
2007,Mar,0.395
2007,Apr,0.795
2007,May,0.372
2007,Jun,0.54
2007,Jul,0.282
2007,Aug,0.385
2007,Sep,0.415
2007,Oct,0.57
2007,Nov,0.395
2007,Dec,0.649
2008,Jan,0.27
2008,Feb,0.362
2008,Mar,0.394
2008,Apr,0.686
2008,May,0.777
2008,Jun,0.401
2008,Jul,0.372
2008,Aug,0.434
2008,Sep,0.467
2008,Oct,0.655
2008,Nov,0.579
2008,Dec,0.774
2009,Jan,0.423
2009,Feb,0.318
2009,Mar,0.347
2009,Apr,0.267
2009,May,0.436
2009,Jun,0.633
2009,Jul,0.618
2009,Aug,0.454
2009,Sep,0.527
2009,Oct,0.825
2009,Nov,0.762
2009,Dec,0.498
2010,Jan,0.465
2010,Feb,0.479
2010,Mar,1.142
2010,Apr,0.698
2010,May,0.414
2010,Jun,0.384
2010,Jul,0.419
2010,Aug,0.53
2010,Sep,0.466
2010,Oct,0.675
2010,Nov,0.647
2010,Dec,0.494
2011,Jan,0.403
2011,Feb,0.453
2011,Mar,0.543
2011,Apr,0.927
2011,May,0.738
2011,Jun,0.53
2011,Jul,0.462
2011,Aug,1.357
2011,Sep,0.761
2011,Oct,0.701
2011,Nov,0.583
2011,Dec,0.499
2012,Jan,0.598
2012,Feb,0.344
2012,Mar,0.212
2012,Apr,0.552
2012,May,0.503
2012,Jun,0.8
2012,Jul,0.47
2012,Aug,0.428
2012,Sep,0.489
2012,Oct,2.739
2012,Nov,0.559
2012,Dec,0.734
2013,Jan,0.511
2013,Feb,0.69
2013,Mar,0.704
2013,Apr,0.478
2013,May,0.28
2013,Jun,0.422
2013,Jul,0.588
2013,Aug,0.369
2013,Sep,0.34
2013,Oct,0.535
2013,Nov,0.483
2013,Dec,0.509
2014,Jan,0.736
2014,Feb,0.409
2014,Mar,0.407
2014,Apr,0.766
2014,May,0.518
2014,Jun,0.496
2014,Jul,0.41
2014,Aug,0.596
2014,Sep,0.573
2014,Oct,0.437
2014,Nov,0.499
2014,Dec,0.656
2015,Jan,0.521
2015,Feb,0.413
2015,Mar,0.435
2015,Apr,0.599
2015,May,0.362
2015,Jun,0.364
2015,Jul,0.4
2015,Aug,0.37
2015,Sep,0.545
2015,Oct,0.715
2015,Nov,0.523
2015,Dec,0.489
2016,Jan,0.86
2016,Feb,0.883
2016,Mar,0.457
2016,Apr,0.61
2016,May,0.72
2016,Jun,0.535
2016,Jul,0.364
2016,Aug,0.42
2016,Sep,0.55
2016,Oct,0.559
2016,Nov,0.5
2016,Dec,0.461
2017,Jan,0.742
2017,Feb,0.38
2017,Mar,0.777
2017,Apr,0.66
2017,May,0.724
2017,Jun,0.512
2017,Jul,0.602
2017,Aug,0.356
2017,Sep,0.579
2017,Oct,0.626
2017,Nov,0.645
2017,Dec,0.67
2018,Jan,0.726
2018,Feb,0.238
2018,Mar,0.867
2018,Apr,0.714
2018,May,0.542
2018,Jun,0.509
2018,Jul,0.459
2018,Aug,0.577
2018,Sep,0.804
2018,Oct,1.011
2018,Nov,0.82
2018,Dec,0.668
2019,Jan,0.74
2019,Feb,0.553
2019,Mar,0.656
2019,Apr,0.582
2019,May,0.509
2019,Jun,0.505
2019,Jul,0.488
2019,Aug,0.471
2019,Sep,0.532
2019,Oct,0.739
2019,Nov,0.593
2019,Dec,0.581
2020,Jan,0.45
2020,Feb,0.457
2020,Mar,0.536
2020,Apr,0.685
2020,May,0.635
2020,Jun,0.489
2020,Jul,0.515
2020,Aug,0.47
2020,Sep,0.588
2020,Oct,0.687
2020,Nov,0.583
2020,Dec,0.778
2021,Jan,0.636
2021,Feb,0.833
2021,Mar,0.581
2021,Apr,0.533
2021,May,0.771
2021,Jun,0.481
2021,Jul,0.476
2021,Aug,0.512
2021,Sep,0.437
2021,Oct,0.684
2021,Nov,0.572
2021,Dec,0.506
2022,Jan,0.74
2022,Feb,0.359
2022,Mar,0.425
2022,Apr,0.728
2022,May,0.551
2022,Jun,0.585
2022,Jul,0.5
2022,Aug,0.545
2022,Sep,0.609
2022,Oct,0.578
2022,Nov,0.463
2022,Dec,1.1
2023,Jan,0.674
2023,Feb,0.714
2023,Mar,0.509
2023,Apr,0.444
2023,May,0.417
2023,Jun,0.686
2023,Jul,0.514
2023,Aug,0.571
2023,Sep,0.637
2023,Oct,0.652
